reranker_margin_threshold,base_margin_threshold,minimum_base_score,minimum_selected_margin,n,coverage,overall_accuracy,selective_accuracy,abstention_rate,reranker_selection_rate,hybrid_selection_rate,agreement_rate
0.0,1.0,0.95,0.0,252,1.0,0.26587301587301587,0.26587301587301587,0.0,0.5714285714285714,0.0,0.42857142857142855
0.0,1.0,0.95,0.02,252,0.8412698412698413,0.25793650793650796,0.30660377358490565,0.15873015873015872,0.5714285714285714,0.0,0.42857142857142855
0.0,1.0,0.95,0.05,252,0.7857142857142857,0.25396825396825395,0.32323232323232326,0.2142857142857143,0.5714285714285714,0.0,0.42857142857142855
0.0,1.0,0.95,0.1,252,0.75,0.25,0.3333333333333333,0.25,0.5714285714285714,0.0,0.42857142857142855
0.25,0.02,0.0,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.0,0.02,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.0,0.05,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.0,0.1,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.9,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.9,0.02,252,0.9761904761904762,0.25793650793650796,0.26422764227642276,0.023809523809523836,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.9,0.05,252,0.9563492063492064,0.25793650793650796,0.2697095435684647,0.04365079365079361,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.9,0.1,252,0.9404761904761905,0.25793650793650796,0.2742616033755274,0.059523809523809534,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.925,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.925,0.02,252,0.9325396825396826,0.25396825396825395,0.2723404255319149,0.06746031746031744,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.925,0.05,252,0.876984126984127,0.25396825396825395,0.2895927601809955,0.12301587301587302,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.925,0.1,252,0.7936507936507936,0.25396825396825395,0.32,0.2063492063492064,0.05952380952380952,0.5119047619047619,0.42857142857142855
0.25,0.02,0.95,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.05952380952380952,0.5119047619047619,0.42857142857142855
